Location,Account,Energy Utilisation (%),Time Utilisation (%),Net Rev Exc. VAT/port/day,Energy Throughput/port/day (kWh),GHG Avoided/port/day (kg),Emission-Free Miles/port/day,Equiv. Trees for 10y/port/day,Sessions/port/day,Charging Time (avg),Dwell Time (avg),Overstay Time (avg),Latitude,Longitude,Postcode,Number of Ports,Charger Type,Venue Type,,,,,,,,,,,,,,,,,,
LEGOLAND,Merlin,7.35%,14.96%,8.576,19.395,17.301,64.005,0.444,0.628,03:32:02,05:42:48,02:10:46,51.464619,-0.655665,SL4 4AY,24,AC,Attraction,,,,,,,,,,,,,,,,,,
SAFARI,Merlin,8.20%,20.90%,7.551,18.682,16.664,61.650,0.427,0.654,03:18:52,06:36:50,03:17:58,51.350372,-0.314324,KT9 2NE,16,AC,Attraction,,,,,,,,,,,,,,,,,,
THORPE HTL,Merlin,8.41%,20.64%,9.023,22.203,19.805,73.268,0.508,0.744,03:27:42,06:39:22,03:11:40,51.404972,-0.510051,KT16 8PN,8,AC,Hotel,,,,,,,,,,,,,,,,,,
THORPE PARK,Merlin,7.65%,16.82%,8.960,20.199,18.018,66.658,0.462,0.696,03:49:48,05:47:53,01:58:06,51.404617,-0.507578,KT16 8PN,8,AC,Attraction,,,,,,,,,,,,,,,,,,
WARWICK CAS,Merlin,2.20%,3.96%,2.501,5.798,5.172,19.133,0.133,0.263,02:34:54,03:37:15,01:02:21,52.280941,-1.585461,CV34 4QU,6,AC,Attraction,,,,,,,,,,,,,,,,,,
WARWICK SFD,Merlin,8.95%,22.62%,11.239,23.623,21.072,77.956,0.540,0.772,03:11:21,07:01:45,03:50:24,52.277119,-1.590491,CV34 6AH,6,AC,Attraction,,,,,,,,,,,,,,,,,,
ANGLESEY,NT,1.80%,2.64%,2.377,4.756,4.242,15.693,0.109,0.266,01:58:04,02:22:36,00:24:33,52.236176,0.24552,CB25 9EJ,12,AC,Heritage,,,,,,,,,,,,,,,,,,
ARLINGTON,NT,3.15%,4.47%,3.611,8.320,7.421,27.455,0.190,0.456,02:04:05,02:21:05,00:17:00,51.149612,-3.986775,EX31 4LP,4,AC,Heritage,,,,,,,,,,,,,,,,,,
ATTINGHAM,NT,3.37%,5.12%,4.438,8.889,7.929,29.335,0.203,0.513,01:57:03,02:23:48,00:26:44,52.685524,-2.671213,SY4 4TP,12,AC,Heritage,,,,,,,,,,,,,,,,,,
BELTON HOUSE,NT,3.33%,4.97%,4.369,8.781,7.833,28.977,0.201,0.462,02:05:58,02:34:57,00:28:58,52.941147,-0.620263,NG32 2LW,12,AC,Heritage,,,,,,,,,,,,,,,,,,
CALKE EXPLORE,NT,2.92%,4.02%,3.547,7.698,6.867,25.404,0.176,0.417,01:57:17,02:18:51,00:21:34,52.80027,-1.471117,DE73 7GZ,6,AC,Heritage,,,,,,,,,,,,,,,,,,
CHARLECOTE,NT,2.08%,3.07%,2.533,5.493,4.900,18.128,0.126,0.308,01:50:54,02:23:20,00:32:26,52.20594,-1.616202,CV35 9ER,16,AC,Heritage,,,,,,,,,,,,,,,,,,
CLAREMONT,NT,1.63%,2.83%,0.946,1.940,1.731,6.403,0.044,0.176,01:29:30,01:44:16,00:14:47,51.356293,-0.380843,KT10 9JG,2,AC,Heritage,,,,,,,,,,,,,,,,,,
CLAREMONT,NT,1.52%,1.52%,2.352,4.118,3.673,13.589,0.094,0.160,00:43:48,01:01:31,00:17:43,51.355938,-0.381807,KT10 9JG,2,DC50,Heritage,,,,,,,,,,,,,,,,,,
CLUMBER PARK,NT,2.24%,3.26%,2.782,5.916,5.277,19.522,0.135,0.334,01:52:37,02:20:41,00:28:04,53.26535,-1.063414,S80 3AZ,12,AC,Heritage,,,,,,,,,,,,,,,,,,
CRAGSIDE,NT,2.72%,5.02%,3.067,7.184,6.408,23.709,0.164,0.454,02:25:41,02:39:21,00:13:40,55.314835,-1.885444,NE65 7PX,12,AC,Heritage,,,,,,,,,,,,,,,,,,
CROOK HALL,NT,1.48%,2.04%,1.229,2.632,2.348,8.687,0.060,0.173,01:39:48,01:54:01,00:14:13,54.781773,-1.575016,DH1 5SZ,4,AC,Heritage,,,,,,,,,,,,,,,,,,
FOUNTAINS,NT,4.53%,6.89%,5.533,11.951,10.660,39.437,0.273,0.580,02:14:54,02:51:13,00:36:20,54.113029,-1.58536,HG4 3DY,12,AC,Heritage,,,,,,,,,,,,,,,,,,
GIBSIDE,NT,1.89%,4.34%,1.683,4.984,4.445,16.446,0.114,0.284,02:50:58,03:40:03,00:49:05,54.919342,-1.736035,NE16 6BG,6,AC,Heritage,,,,,,,,,,,,,,,,,,
HATCHLANDS,NT,1.64%,2.61%,0.656,1.358,1.212,4.483,0.031,0.089,01:44:45,02:12:05,00:27:21,51.255684,-0.473691,GU4 7RT,6,AC,Heritage,,,,,,,,,,,,,,,,,,
HEELIS,NT,1.07%,3.42%,0.959,2.835,2.529,9.355,0.065,0.118,03:38:53,06:56:57,03:18:04,51.56427,-1.797067,SN2 2NA,14,AC,Heritage,,,,,,,,,,,,,,,,,,
IGHTHAM MOTE,NT,2.04%,2.87%,2.366,5.377,4.796,17.743,0.123,0.321,01:49:24,02:08:27,00:19:03,51.259258,0.270653,TN15 0NT,6,AC,Heritage,,,,,,,,,,,,,,,,,,
KILLERTON,NT,4.71%,6.44%,5.408,12.426,11.084,41.007,0.284,0.717,01:50:45,02:09:19,00:18:34,50.791836,-3.453161,EX5 3LE,6,AC,Heritage,,,,,,,,,,,,,,,,,,
MONTACUTE,NT,2.19%,2.55%,1.017,2.086,1.861,6.883,0.048,0.126,01:54:37,02:12:40,00:18:02,50.950569,-2.715252,TA15 6XP,4,DC50,Heritage,,,,,,,,,,,,,,,,,,
MONTACUTE,NT,2.24%,3.32%,2.650,4.634,4.134,15.292,0.106,0.198,00:41:00,01:05:05,00:24:05,50.950703,-2.71517,TA15 6XP,4,AC,Heritage,,,,,,,,,,,,,,,,,,
MOTTISFONT,NT,1.33%,1.89%,1.560,3.363,3.000,11.097,0.077,0.193,01:52:17,02:15:01,00:22:44,51.040321,-1.533377,SO51 0LN,10,AC,Heritage,,,,,,,,,,,,,,,,,,
NYMANS,NT,2.41%,3.56%,2.946,6.375,5.686,21.037,0.146,0.408,01:49:46,02:05:34,00:15:48,51.05238,-0.199658,RH17 6EB,8,AC,Heritage,,,,,,,,,,,,,,,,,,
PENRHYN,NT,4.82%,6.70%,5.627,12.728,11.354,42.004,0.291,0.685,02:04:46,02:20:57,00:16:11,53.224476,-4.09199,LL57 4HT,4,AC,Heritage,,,,,,,,,,,,,,,,,,
PENTIREGLAZE,NT,4.27%,6.14%,4.978,11.285,10.067,37.242,0.258,0.556,02:06:50,02:39:15,00:32:25,50.581974,-4.905297,PL27 6QY,4,AC,Heritage,,,,,,,,,,,,,,,,,,
PLAS NEWYDD,NT,5.57%,7.86%,1.779,3.649,3.255,12.043,0.083,0.196,02:06:02,02:23:24,00:17:22,53.204369,-4.219902,LL61 6DQ,6,AC,Heritage,,,,,,,,,,,,,,,,,,
POLESDEN,NT,2.23%,3.62%,2.464,5.897,5.260,19.459,0.135,0.335,01:52:32,02:35:28,00:42:56,51.259571,-0.375104,RH5 6BD,10,AC,Heritage,,,,,,,,,,,,,,,,,,
PONT AR DAF,NT,2.35%,4.39%,2.723,6.207,5.537,20.483,0.142,0.364,02:36:46,02:53:36,00:16:50,51.869442,-3.473061,LD3 8NL,12,AC,Heritage,,,,,,,,,,,,,,,,,,
QUARRY BANK,NT,3.45%,5.82%,3.657,9.104,8.121,30.045,0.208,0.526,01:58:05,02:39:22,00:41:17,53.344902,-2.248062,SK9 4LA,6,AC,Heritage,,,,,,,,,,,,,,,,,,
SNOWSHILL,NT,2.65%,3.90%,3.044,7.004,6.247,23.112,0.160,0.485,01:41:28,01:55:53,00:14:25,52.005638,-1.862658,WR12 7JU,6,AC,Heritage,,,,,,,,,,,,,,,,,,
STOURHEAD,NT,1.96%,4.99%,19.652,28.873,25.755,95.281,0.660,0.833,00:39:18,01:10:29,00:31:11,51.104309,-2.316853,BA12 6QD,4,DC150,Hub+,,,,,,,,,,,,,,,,,,
STOURHEAD,NT,1.24%,5.61%,23.941,35.789,31.924,118.103,0.819,0.998,00:39:51,01:05:01,00:25:10,51.104343,-2.317063,BA12 6QD,4,DC300,Hub+,,,,,,,,,,,,,,,,,,
STOURHEAD,NT,4.46%,6.29%,4.605,10.626,9.478,35.066,0.243,0.542,02:00:09,02:31:05,00:30:57,51.104477,-2.316992,BA12 6QD,8,AC,Hub+,,,,,,,,,,,,,,,,,,
STOWE GDNS,NT,2.55%,3.72%,3.356,6.733,6.006,22.220,0.154,0.381,01:56:08,02:20:51,00:24:43,52.022629,-1.006804,MK18 5EQ,8,AC,Heritage,,,,,,,,,,,,,,,,,,
WALLINGTON,NT,1.33%,3.88%,1.836,3.510,3.131,11.581,0.080,0.461,01:27:16,02:01:18,00:34:03,55.153709,-1.959177,NE61 4AR,12,AC,Heritage,,,,,,,,,,,,,,,,,,
WIMPOLE,NT,2.63%,5.59%,3.057,6.947,6.197,22.925,0.159,0.486,02:15:58,02:45:32,00:29:34,52.137325,-0.041891,SG8 0BW,12,AC,Heritage,,,,,,,,,,,,,,,,,,
ST GEORGE'S,St George's,2.27%,3.44%,26.021,41.258,36.803,136.153,0.944,1.214,00:35:51,00:40:19,00:04:28,52.635681,-1.121547,LE1 1SG,4,DC150,Hub+,,,,,,,,,,,,,,,,,,
ST GEORGE'S,St George's,1.62%,4.83%,75.948,115.383,102.922,380.765,2.639,3.399,00:36:36,00:40:44,00:04:09,52.635902,-1.121311,LE1 1SG,8,DC300,Hub+,,,,,,,,,,,,,,,,,,
BILLESLEY,Bespoke,4.46%,13.18%,6.358,13.007,11.603,42.924,0.298,0.497,02:36:55,07:07:07,04:30:12,52.208698,-1.785909,B49 6NE,4,AC,Hotel,,,,,,,,,,,,,,,,,,
CALEDONIAN,Bespoke,3.33%,6.66%,4.290,8.177,7.294,26.985,0.187,0.432,02:03:44,03:37:02,01:33:18,57.897388,-5.161871,IV26 2UG,6,AC,Hotel,,,,,,,,,,,,,,,,,,
J27,J27,5.88%,14.41%,7.316,15.536,13.858,51.267,0.355,0.633,03:28:25,05:34:42,02:06:17,53.743202,-1.64498,WF17 9AD,6,AC,Hub+,,,,,,,,,,,,,,,,,,
J27,J27,0.93%,2.51%,22.749,33.455,29.842,110.401,0.765,1.021,00:30:45,00:35:31,00:04:46,53.743404,-1.644705,WF17 9AD,10,DC300,Hub+,,,,,,,,,,,,,,,,,,
