Location,Account,Energy Utilisation (%),Time Utilisation (%),Net Rev Exc. VAT/port/day,Energy Throughput/port/day (kWh),GHG Avoided/port/day (kg),Emission-Free Miles/port/day,Equiv. Trees for 10y/port/day,Sessions/port/day,Charging Time (avg),Dwell Time (avg),Overstay Time (avg),Latitude,Longitude,Postcode,Number of Ports,Charger Type,Venue Type,,,,,,,,,,,,,,,,,,
GAMSTON,Greene King,1.15%,1.37%,1.430,3.000,2.676,9.901,0.069,0.203,01:19:25,01:36:25,00:17:00,52.92396574,-1.099035207,NG2 6NA,6,AC,Pub,,,,,,,,,,,,,,,,,,
GARDENERS,Greene King,5.69%,12.67%,6.803,14.910,13.300,49.204,0.341,0.554,03:23:23,05:26:41,02:03:18,51.75373018,0.493339137,CM1 6XW,4,AC,Pub,,,,,,,,,,,,,,,,,,
GARDENHALL,Greene King,2.38%,3.71%,2.872,6.232,5.559,20.565,0.143,0.256,02:21:05,03:27:04,01:05:59,55.75574947,-4.231261548,G75 8SP,6,AC,Pub,,,,,,,,,,,,,,,,,,
GATEHOUSE,Greene King,2.12%,2.99%,24.547,37.927,33.831,125.159,0.867,1.168,00:33:59,00:36:33,00:02:34,52.744061,0.402005,PE30 5BB,4,DC150,Hub+,,,,,,,,,,,,,,,,,,
GEMINI,Greene King,0.47%,0.54%,0.570,1.242,1.108,4.099,0.028,0.071,01:42:02,01:47:04,00:05:02,52.6840556,0.935521971,NR19 2EA,4,AC,Pub,,,,,,,,,,,,,,,,,,
GERARD ARMS,Greene King,1.19%,1.76%,1.399,3.120,2.783,10.297,0.071,0.118,02:42:18,03:32:31,00:50:13,53.46205039,-2.759163794,WA10 6SD,6,AC,Pub,,,,,,,,,,,,,,,,,,
GK RIVERSIDE,Greene King,2.74%,7.40%,3.198,7.187,6.410,23.716,0.164,0.272,02:26:22,06:27:58,04:01:35,52.641391,-2.6363166,SY5 6AF,4,AC,Pub,,,,,,,,,,,,,,,,,,
GLASS HORSE,Greene King,0.54%,0.76%,4.306,6.803,6.068,22.450,0.156,0.191,00:37:24,00:40:14,00:02:51,53.442543,-2.728273,WA9 5TQ,4,DC150,Hub+,,,,,,,,,,,,,,,,,,
GRANDSTAND,Greene King,5.03%,6.92%,6.220,13.165,11.743,43.444,0.301,0.693,01:47:33,02:22:41,00:35:08,52.06676092,-2.73426478,HR4 9NH,4,AC,Pub,,,,,,,,,,,,,,,,,,
GRAVESBERIE,Greene King,4.59%,8.84%,5.533,12.022,10.723,39.671,0.275,0.476,02:35:18,04:25:32,01:50:14,53.38249085,-3.108888895,CH49 2PP,6,AC,Pub,,,,,,,,,,,,,,,,,,
GREEN MAN,Greene King,1.51%,2.35%,1.754,3.961,3.533,13.071,0.091,0.122,03:20:34,04:34:10,01:13:37,51.40677912,-0.758510452,RG12 7DL,6,AC,Pub,,,,,,,,,,,,,,,,,,
GREEN POSTS,Greene King,2.07%,3.98%,2.545,5.413,4.829,17.863,0.124,0.186,02:59:20,05:05:49,02:06:29,50.82465635,-1.073606105,PO2 9HJ,2,AC,Pub,,,,,,,,,,,,,,,,,,
GREENE MAN,Greene King,0.47%,0.64%,0.581,1.232,1.099,4.065,0.028,0.088,01:36:13,01:44:50,00:08:37,51.62530183,-0.015044094,E4 6XQ,4,AC,Pub,,,,,,,,,,,,,,,,,,
GREENGAGE,Greene King,0.26%,0.38%,0.340,0.678,0.604,2.236,0.015,0.054,01:26:19,01:41:25,00:15:06,52.25846265,0.701480142,IP32 6DE,4,AC,Pub,,,,,,,,,,,,,,,,,,
HALF MOON,Greene King,0.99%,1.06%,1.064,2.595,2.315,8.564,0.059,0.153,01:28:56,01:39:13,00:10:17,52.34530002,0.522391973,IP28 7HS,4,AC,Pub,,,,,,,,,,,,,,,,,,
